"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeBroadHistoneA549H3k04me2Etoh02Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeBroadHistoneA549H3k04me3Etoh02Pk.broadPeak.csv"
"jaccard_index","0.533398175511843"
"pi_score","10.3789428179891"
"p_value","0.5"
"percentage_A","0.624256769937221"
"percentage_B","0.785627953087506"
"Min.","0.0356224567333619"
"1st Qu.","0.0356224567333619"
"Median","0.0356224567333619"
"Mean","0.0356224567333619"
"3rd Qu.","0.0356224567333619"
"Max.","0.0356224567333619"
