"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeBroadHistoneA549H3k04me2Etoh02Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Yy1cV0422111Etoh02PkRep1.broadPeak.csv"
"jaccard_index","0.0393122000257231"
"pi_score","8.86111346088963"
"p_value","0.5"
"percentage_A","0.0394713759076592"
"percentage_B","0.906962704163898"
"Min.","0.00307513730974198"
"1st Qu.","0.00307513730974198"
"Median","0.00307513730974198"
"Mean","0.00307513730974198"
"3rd Qu.","0.00307513730974198"
"Max.","0.00307513730974198"
