"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeBroadHistoneA549H3k04me3Etoh02Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Elf1V0422111Etoh02PkRep1.broadPeak.csv"
"jaccard_index","0.014522094119797"
"pi_score","11.2603115454273"
"p_value","0.5"
"percentage_A","0.0145322505820415"
"percentage_B","0.95408370757732"
"Min.","0.000893931624747195"
"1st Qu.","0.000893931624747195"
"Median","0.000893931624747195"
"Mean","0.000893931624747195"
"3rd Qu.","0.000893931624747195"
"Max.","0.000893931624747195"
