"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeBroadHistoneA549H3k09acEtoh02Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Elf1V0422111Etoh02PkRep1.broadPeak.csv"
"jaccard_index","0.0178658578790289"
"pi_score","12.0728523378076"
"p_value","0.5"
"percentage_A","0.0178857229891417"
"percentage_B","0.941471451103468"
"Min.","0.00102574509077301"
"1st Qu.","0.00102574509077301"
"Median","0.00102574509077301"
"Mean","0.00102574509077301"
"3rd Qu.","0.00102574509077301"
"Max.","0.00102574509077301"
