"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeBroadHistoneA549H3k09acEtoh02Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Pol2Pcr2xDex100nmPkRep1.broadPeak.csv"
"jaccard_index","0.0968827489202569"
"pi_score","12.9431514359207"
"p_value","0.5"
"percentage_A","0.0990944278411968"
"percentage_B","0.812763475799454"
"Min.","0.00518838125254433"
"1st Qu.","0.00518838125254433"
"Median","0.00518838125254433"
"Mean","0.00518838125254433"
"3rd Qu.","0.00518838125254433"
"Max.","0.00518838125254433"
