"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeBroadHistoneA549H3k09me3Etoh02Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549GrPcr1xDex50nmPkRep1.broadPeak.csv"
"jaccard_index","0.00311975417672183"
"pi_score","0"
"p_value","1"
"percentage_A","0.00314675750814268"
"percentage_B","0.266621190093037"
"Min.","0.00330207806719069"
"1st Qu.","0.00330207806719069"
"Median","0.00330207806719069"
"Mean","0.00330207806719069"
"3rd Qu.","0.00330207806719069"
"Max.","0.00330207806719069"
