"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeBroadHistoneA549H3k27acEtoh02Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeBroadHistoneA549H3k27me3Dex100nmPk.broadPeak.csv"
"jaccard_index","0.015291143646445"
"pi_score","0"
"p_value","1"
"percentage_A","0.090651592983424"
"percentage_B","0.0180615980838761"
"Min.","0.0446629202146276"
"1st Qu.","0.0446629202146276"
"Median","0.0446629202146276"
"Mean","0.0446629202146276"
"3rd Qu.","0.0446629202146276"
"Max.","0.0446629202146276"
