"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeBroadHistoneA549H3k27me3Dex100nmPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Sp1V0422111Etoh02PkRep1.broadPeak.csv"
"jaccard_index","0.00334785484000643"
"pi_score","0"
"p_value","1"
"percentage_A","0.0034449337602971"
"percentage_B","0.106186535151994"
"Min.","0.00894040709764075"
"1st Qu.","0.00894040709764075"
"Median","0.00894040709764075"
"Mean","0.00894040709764075"
"3rd Qu.","0.00894040709764075"
"Max.","0.00894040709764075"
