"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeBroadHistoneA549H3k79me2Dex100nmPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmPkRep1.broadPeak.csv"
"jaccard_index","0.0234236239914456"
"pi_score","3.74927683406708"
"p_value","0.5"
"percentage_A","0.0237871525549789"
"percentage_B","0.605164915560453"
"Min.","0.00433044014798837"
"1st Qu.","0.00433044014798837"
"Median","0.00433044014798837"
"Mean","0.00433044014798837"
"3rd Qu.","0.00433044014798837"
"Max.","0.00433044014798837"
