"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeBroadHistoneA549H4k20me1Etoh02Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549MaxV0422111PkRep1.broadPeak.csv"
"jaccard_index","0.0260238899567614"
"pi_score","1.5161764662306"
"p_value","0.5"
"percentage_A","0.0266755272887953"
"percentage_B","0.515813063900704"
"Min.","0.011897286597237"
"1st Qu.","0.011897286597237"
"Median","0.011897286597237"
"Mean","0.011897286597237"
"3rd Qu.","0.011897286597237"
"Max.","0.011897286597237"
