"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Bcl3V0422111Etoh02PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Ctcfsc5916Pcr1xDex100nmPkRep1.broadPeak.csv"
"jaccard_index","0.0282015743590536"
"pi_score","9.37690218347921"
"p_value","0.5"
"percentage_A","0.0535312919583794"
"percentage_B","0.056248187114206"
"Min.","0.00208468013975556"
"1st Qu.","0.00208468013975556"
"Median","0.00208468013975556"
"Mean","0.00208468013975556"
"3rd Qu.","0.00208468013975556"
"Max.","0.00208468013975556"
