"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Fosl2V0422111Etoh02PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549GrPcr1xDex5nmPkRep1.broadPeak.csv"
"jaccard_index","0.130121662532656"
"pi_score","108.682914753546"
"p_value","0.5"
"percentage_A","0.153761926026954"
"percentage_B","0.458388651226828"
"Min.","0.000829877112872892"
"1st Qu.","0.000829877112872892"
"Median","0.000829877112872892"
"Mean","0.000829877112872892"
"3rd Qu.","0.000829877112872892"
"Max.","0.000829877112872892"
