"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Foxa2V0416102Etoh02PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Gata3V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.112828370399438"
"pi_score","73.6755217633292"
"p_value","0.5"
"percentage_A","0.12316727140594"
"percentage_B","0.573401363841165"
"Min.","0.00106150136378769"
"1st Qu.","0.00106150136378769"
"Median","0.00106150136378769"
"Mean","0.00106150136378769"
"3rd Qu.","0.00106150136378769"
"Max.","0.00106150136378769"
