"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Foxa2V0416102Etoh02PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Taf1V0422111Etoh02PkRep1.broadPeak.csv"
"jaccard_index","0.123648041320709"
"pi_score","35.2167088476452"
"p_value","0.5"
"percentage_A","0.161873357659053"
"percentage_B","0.343665928671982"
"Min.","0.00243368259067002"
"1st Qu.","0.00243368259067002"
"Median","0.00243368259067002"
"Mean","0.00243368259067002"
"3rd Qu.","0.00243368259067002"
"Max.","0.00243368259067002"
