"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549MaxV0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Tcf12V0422111Etoh02PkRep1.broadPeak.csv"
"jaccard_index","0.168432823685186"
"pi_score","65.2052082515304"
"p_value","0.5"
"percentage_A","0.169994137333539"
"percentage_B","0.948290438556473"
"Min.","0.00179048177257216"
"1st Qu.","0.00179048177257216"
"Median","0.00179048177257216"
"Mean","0.00179048177257216"
"3rd Qu.","0.00179048177257216"
"Max.","0.00179048177257216"
