"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Pol2Pcr2xDex100nmPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_A549/wgEncodeHaibTfbsA549Usf1Pcr1xDex100nmPkRep1.broadPeak.csv"
"jaccard_index","0.121591071323238"
"pi_score","50.3112208906488"
"p_value","0.5"
"percentage_A","0.148240581600834"
"percentage_B","0.403470334634244"
"Min.","0.00167518312569176"
"1st Qu.","0.00167518312569176"
"Median","0.00167518312569176"
"Mean","0.00167518312569176"
"3rd Qu.","0.00167518312569176"
"Max.","0.00167518312569176"
