"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Ecc1/wgEncodeHaibTfbsEcc1MaxV0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Ecc1/wgEncodeHaibTfbsEcc1Rad21V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.124770856225959"
"pi_score","23.8710487498601"
"p_value","0.5"
"percentage_A","0.21972124939663"
"percentage_B","0.224040887950744"
"Min.","0.00362298984495102"
"1st Qu.","0.00362298984495102"
"Median","0.00362298984495102"
"Mean","0.00362298984495102"
"3rd Qu.","0.00362298984495102"
"Max.","0.00362298984495102"
