"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeBroadHistoneGm12878Ezh239875Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeBroadHistoneGm12878H4k20me1StdPk.broadPeak.csv"
"jaccard_index","0.269175545230883"
"pi_score","1.2285647410077"
"p_value","0.5"
"percentage_A","0.365590286100127"
"percentage_B","0.505115481068165"
"Min.","0.15186686059331"
"1st Qu.","0.15186686059331"
"Median","0.15186686059331"
"Mean","0.15186686059331"
"3rd Qu.","0.15186686059331"
"Max.","0.15186686059331"
