"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeBroadHistoneGm12878Ezh239875Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Smc3ab9263IggmusPk.narrowPeak.csv"
"jaccard_index","0.0159298025257471"
"pi_score","1.49339865292176"
"p_value","0.5"
"percentage_A","0.0160571598062494"
"percentage_B","0.667600016330108"
"Min.","0.00739367059558796"
"1st Qu.","0.00739367059558796"
"Median","0.00739367059558796"
"Mean","0.00739367059558796"
"3rd Qu.","0.00739367059558796"
"Max.","0.00739367059558796"
