"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeBroadHistoneGm12878H2azStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Ets1Pcr1xPkRep1V2.broadPeak.csv"
"jaccard_index","0.00120598391506098"
"pi_score","5.38433374735649"
"p_value","0.5"
"percentage_A","0.00120702581686534"
"percentage_B","0.582831374872453"
"Min.","0.000155251213938135"
"1st Qu.","0.000155251213938135"
"Median","0.000155251213938135"
"Mean","0.000155251213938135"
"3rd Qu.","0.000155251213938135"
"Max.","0.000155251213938135"
