"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeBroadHistoneGm12878H2azStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878CfosStdPk.narrowPeak.csv"
"jaccard_index","0.00205817276857488"
"pi_score","7.23966208688688"
"p_value","0.5"
"percentage_A","0.00205840380922481"
"percentage_B","0.948285186903985"
"Min.","0.000197055696042354"
"1st Qu.","0.000197055696042354"
"Median","0.000197055696042354"
"Mean","0.000197055696042354"
"3rd Qu.","0.000197055696042354"
"Max.","0.000197055696042354"
