"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeBroadHistoneGm12878H3k04me1StdPkV2.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878RxraPcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.00293048058711633"
"pi_score","2.27125707794488"
"p_value","0.5"
"percentage_A","0.00294785520222283"
"percentage_B","0.332085889201567"
"Min.","0.00089433044650467"
"1st Qu.","0.00089433044650467"
"Median","0.00089433044650467"
"Mean","0.00089433044650467"
"3rd Qu.","0.00089433044650467"
"Max.","0.00089433044650467"
