"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeBroadHistoneGm12878H3k27acStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeBroadHistoneGm12878H3k27me3StdPkV2.broadPeak.csv"
"jaccard_index","0.0250039532300112"
"pi_score","0"
"p_value","1"
"percentage_A","0.185490151677572"
"percentage_B","0.0280878725453513"
"Min.","0.0425132843671987"
"1st Qu.","0.0425132843671987"
"Median","0.0425132843671987"
"Mean","0.0425132843671987"
"3rd Qu.","0.0425132843671987"
"Max.","0.0425132843671987"
