"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeBroadHistoneGm12878H3k27acStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Zzz3StdPk.narrowPeak.csv"
"jaccard_index","0.00136157821801649"
"pi_score","15.2371150465934"
"p_value","0.5"
"percentage_A","0.00136310885342847"
"percentage_B","0.548033794368498"
"Min.","6.19391597453986e-05"
"1st Qu.","6.19391597453986e-05"
"Median","6.19391597453986e-05"
"Mean","6.19391597453986e-05"
"3rd Qu.","6.19391597453986e-05"
"Max.","6.19391597453986e-05"
