"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeBroadHistoneGm12878H3k9acStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878NrsfPcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.00775376914098902"
"pi_score","4.64178742991391"
"p_value","0.5"
"percentage_A","0.0079146183195178"
"percentage_B","0.27616266954325"
"Min.","0.00115785207744615"
"1st Qu.","0.00115785207744615"
"Median","0.00115785207744615"
"Mean","0.00115785207744615"
"3rd Qu.","0.00115785207744615"
"Max.","0.00115785207744615"
