"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeBroadHistoneGm12878H3k9me3StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Pu1Pcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.00441909629566304"
"pi_score","1.50091160536669"
"p_value","0.5"
"percentage_A","0.00445126480781153"
"percentage_B","0.37945441612681"
"Min.","0.00204081581287619"
"1st Qu.","0.00204081581287619"
"Median","0.00204081581287619"
"Mean","0.00204081581287619"
"3rd Qu.","0.00204081581287619"
"Max.","0.00204081581287619"
