"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeBroadHistoneGm12878H3k9me3StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878MaxIggmusPk.narrowPeak.csv"
"jaccard_index","0.0118630402135116"
"pi_score","1.19370594503143"
"p_value","0.5"
"percentage_A","0.0122105759443942"
"percentage_B","0.294186457501551"
"Min.","0.00688849118251505"
"1st Qu.","0.00688849118251505"
"Median","0.00688849118251505"
"Mean","0.00688849118251505"
"3rd Qu.","0.00688849118251505"
"Max.","0.00688849118251505"
