"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Atf2sc81188V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Irf4sc6059Pcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.200754824320095"
"pi_score","56.0721211890183"
"p_value","0.5"
"percentage_A","0.256701892191177"
"percentage_B","0.479471181266113"
"Min.","0.00248167248733465"
"1st Qu.","0.00248167248733465"
"Median","0.00248167248733465"
"Mean","0.00248167248733465"
"3rd Qu.","0.00248167248733465"
"Max.","0.00248167248733465"
