"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Atf2sc81188V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Mef2aPcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.311947619130629"
"pi_score","90.7261685775923"
"p_value","0.5"
"percentage_A","0.339637705796733"
"percentage_B","0.792799761146079"
"Min.","0.00238327724043432"
"1st Qu.","0.00238327724043432"
"Median","0.00238327724043432"
"Mean","0.00238327724043432"
"3rd Qu.","0.00238327724043432"
"Max.","0.00238327724043432"
