"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Atf3Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Stat5asc74442V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.0173162634134303"
"pi_score","86.838375954956"
"p_value","0.5"
"percentage_A","0.416202113994509"
"percentage_B","0.0177473311029055"
"Min.","0.000138219065371265"
"1st Qu.","0.000138219065371265"
"Median","0.000138219065371265"
"Mean","0.000138219065371265"
"3rd Qu.","0.000138219065371265"
"Max.","0.000138219065371265"
