"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Bcl3V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878JundIggrabPk.narrowPeak.csv"
"jaccard_index","0.0474263563664731"
"pi_score","51.4831426802182"
"p_value","0.5"
"percentage_A","0.0554074596363432"
"percentage_B","0.247695762476993"
"Min.","0.000638528331571399"
"1st Qu.","0.000638528331571399"
"Median","0.000638528331571399"
"Mean","0.000638528331571399"
"3rd Qu.","0.000638528331571399"
"Max.","0.000638528331571399"
