"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Bclaf101388V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878P300Pcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.0741930244876426"
"pi_score","28.4074731339743"
"p_value","0.5"
"percentage_A","0.0971326684060436"
"percentage_B","0.239053810033961"
"Min.","0.00181032242812614"
"1st Qu.","0.00181032242812614"
"Median","0.00181032242812614"
"Mean","0.00181032242812614"
"3rd Qu.","0.00181032242812614"
"Max.","0.00181032242812614"
