"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Creb1sc240V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Taf1Pcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.176102175923329"
"pi_score","132.421644613444"
"p_value","0.5"
"percentage_A","0.202605076309858"
"percentage_B","0.573785664334006"
"Min.","0.000921788330661875"
"1st Qu.","0.000921788330661875"
"Median","0.000921788330661875"
"Mean","0.000921788330661875"
"3rd Qu.","0.000921788330661875"
"Max.","0.000921788330661875"
