"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Creb1sc240V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Yy1StdPk.narrowPeak.csv"
"jaccard_index","0.0153782758452336"
"pi_score","151.333134890238"
"p_value","0.5"
"percentage_A","0.0157724993941283"
"percentage_B","0.380908380580507"
"Min.","7.04367126983001e-05"
"1st Qu.","7.04367126983001e-05"
"Median","7.04367126983001e-05"
"Mean","7.04367126983001e-05"
"3rd Qu.","7.04367126983001e-05"
"Max.","7.04367126983001e-05"
