"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Ebfsc137065Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878P300Pcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.200949392687231"
"pi_score","78.0106506510494"
"p_value","0.5"
"percentage_A","0.258506980587628"
"percentage_B","0.474381090155073"
"Min.","0.00178549343985652"
"1st Qu.","0.00178549343985652"
"Median","0.00178549343985652"
"Mean","0.00178549343985652"
"3rd Qu.","0.00178549343985652"
"Max.","0.00178549343985652"
