"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Ebfsc137065Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Pol2Pcr2xPkRep1.broadPeak.csv"
"jaccard_index","0.0858891334851243"
"pi_score","17.8334351655321"
"p_value","0.5"
"percentage_A","0.228142885925016"
"percentage_B","0.121069795837977"
"Min.","0.00333832546356609"
"1st Qu.","0.00333832546356609"
"Median","0.00333832546356609"
"Mean","0.00333832546356609"
"3rd Qu.","0.00333832546356609"
"Max.","0.00333832546356609"
