"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Elf1sc631V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Mta3sc81325V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.255006087718103"
"pi_score","75.2793564930711"
"p_value","0.5"
"percentage_A","0.450459536826077"
"percentage_B","0.370162011810957"
"Min.","0.00234801091509987"
"1st Qu.","0.00234801091509987"
"Median","0.00234801091509987"
"Mean","0.00234801091509987"
"3rd Qu.","0.00234801091509987"
"Max.","0.00234801091509987"
