"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878GabpPcr2xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878NfyaIggmusPk.narrowPeak.csv"
"jaccard_index","0.0560445530208134"
"pi_score","63.4756327394994"
"p_value","0.5"
"percentage_A","0.143851045748348"
"percentage_B","0.0840950102548413"
"Min.","0.000612000577789365"
"1st Qu.","0.000612000577789365"
"Median","0.000612000577789365"
"Mean","0.000612000577789365"
"3rd Qu.","0.000612000577789365"
"Max.","0.000612000577789365"
