"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Irf4sc6059Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Ebf1sc137065StdPk.narrowPeak.csv"
"jaccard_index","0.127869342239749"
"pi_score","28.1164700730375"
"p_value","0.5"
"percentage_A","0.43770958289132"
"percentage_B","0.15300198261141"
"Min.","0.00315232580132921"
"1st Qu.","0.00315232580132921"
"Median","0.00315232580132921"
"Mean","0.00315232580132921"
"3rd Qu.","0.00315232580132921"
"Max.","0.00315232580132921"
