"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Irf4sc6059Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878MafkIggmusPk.narrowPeak.csv"
"jaccard_index","0.00533671016355166"
"pi_score","5.63004748868263"
"p_value","0.5"
"percentage_A","0.00621814307581408"
"percentage_B","0.0362823072708606"
"Min.","0.000657032753412351"
"1st Qu.","0.000657032753412351"
"Median","0.000657032753412351"
"Mean","0.000657032753412351"
"3rd Qu.","0.000657032753412351"
"Max.","0.000657032753412351"
