"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Mef2aPcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Elk112771IggmusPk.narrowPeak.csv"
"jaccard_index","0.124218871657203"
"pi_score","55.973241112403"
"p_value","0.5"
"percentage_A","0.216308024550318"
"percentage_B","0.225872850240313"
"Min.","0.00153827005458951"
"1st Qu.","0.00153827005458951"
"Median","0.00153827005458951"
"Mean","0.00153827005458951"
"3rd Qu.","0.00153827005458951"
"Max.","0.00153827005458951"
