"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Pax5c20Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Pbx3Pcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.0925695597341001"
"pi_score","67.8922958854294"
"p_value","0.5"
"percentage_A","0.103436733318654"
"percentage_B","0.468396832998272"
"Min.","0.000945089991412965"
"1st Qu.","0.000945089991412965"
"Median","0.000945089991412965"
"Mean","0.000945089991412965"
"3rd Qu.","0.000945089991412965"
"Max.","0.000945089991412965"
