"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Pax5c20Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878CfosStdPk.narrowPeak.csv"
"jaccard_index","0.0154701344450618"
"pi_score","32.178526832605"
"p_value","0.5"
"percentage_A","0.0156606011484506"
"percentage_B","0.559857078554456"
"Min.","0.000333237134479776"
"1st Qu.","0.000333237134479776"
"Median","0.000333237134479776"
"Mean","0.000333237134479776"
"3rd Qu.","0.000333237134479776"
"Max.","0.000333237134479776"
