"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Pou2f2Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878TbpIggmusPk.narrowPeak.csv"
"jaccard_index","0.1528547473728"
"pi_score","70.650323257661"
"p_value","0.5"
"percentage_A","0.445586120084263"
"percentage_B","0.188753196518046"
"Min.","0.00149965113096875"
"1st Qu.","0.00149965113096875"
"Median","0.00149965113096875"
"Mean","0.00149965113096875"
"3rd Qu.","0.00149965113096875"
"Max.","0.00149965113096875"
