"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Rad21V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Chd1a301218aIggmusPk.narrowPeak.csv"
"jaccard_index","0.0368251398125"
"pi_score","14.7395673606085"
"p_value","0.5"
"percentage_A","0.108909728522696"
"percentage_B","0.0527052393922729"
"Min.","0.00173174973255839"
"1st Qu.","0.00173174973255839"
"Median","0.00173174973255839"
"Mean","0.00173174973255839"
"3rd Qu.","0.00173174973255839"
"Max.","0.00173174973255839"
