"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Rad21V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Gcn5StdPk.narrowPeak.csv"
"jaccard_index","0.00261307170452531"
"pi_score","5.56510640411814"
"p_value","0.5"
"percentage_A","0.00297029635379226"
"percentage_B","0.0212654515833418"
"Min.","0.000325464268437416"
"1st Qu.","0.000325464268437416"
"Median","0.000325464268437416"
"Mean","0.000325464268437416"
"3rd Qu.","0.000325464268437416"
"Max.","0.000325464268437416"
