"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878RxraPcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Usf2IggmusPk.narrowPeak.csv"
"jaccard_index","0.0392304598975381"
"pi_score","50.1977750676522"
"p_value","0.5"
"percentage_A","0.165364646854135"
"percentage_B","0.0489161279380011"
"Min.","0.000541706930902831"
"1st Qu.","0.000541706930902831"
"Median","0.000541706930902831"
"Mean","0.000541706930902831"
"3rd Qu.","0.000541706930902831"
"Max.","0.000541706930902831"
