"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Sp1Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Bhlhe40cIggmusPk.narrowPeak.csv"
"jaccard_index","0.192699657076051"
"pi_score","47.5309748340819"
"p_value","0.5"
"percentage_A","0.471103900850752"
"percentage_B","0.245896670939781"
"Min.","0.00281015115855267"
"1st Qu.","0.00281015115855267"
"Median","0.00281015115855267"
"Mean","0.00281015115855267"
"3rd Qu.","0.00281015115855267"
"Max.","0.00281015115855267"
