"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878SrfV0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Rfx5200401194IggmusPk.narrowPeak.csv"
"jaccard_index","0.0788578104791081"
"pi_score","83.9353428982974"
"p_value","0.5"
"percentage_A","0.371569248226291"
"percentage_B","0.0909937673926543"
"Min.","0.000651216366208865"
"1st Qu.","0.000651216366208865"
"Median","0.000651216366208865"
"Mean","0.000651216366208865"
"3rd Qu.","0.000651216366208865"
"Max.","0.000651216366208865"
