"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Tcf3Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878JundStdPk.narrowPeak.csv"
"jaccard_index","0.0112539300834397"
"pi_score","66.5484409785137"
"p_value","0.5"
"percentage_A","0.0114436145384691"
"percentage_B","0.40438848347091"
"Min.","0.000117217320088288"
"1st Qu.","0.000117217320088288"
"Median","0.000117217320088288"
"Mean","0.000117217320088288"
"3rd Qu.","0.000117217320088288"
"Max.","0.000117217320088288"
