"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeHaibTfbsGm12878Usf1Pcr2xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Stat3IggmusPk.narrowPeak.csv"
"jaccard_index","0.0230974728187506"
"pi_score","23.2898600276623"
"p_value","0.5"
"percentage_A","0.132406747615732"
"percentage_B","0.0272165908548889"
"Min.","0.000687421398984849"
"1st Qu.","0.000687421398984849"
"Median","0.000687421398984849"
"Mean","0.000687421398984849"
"3rd Qu.","0.000687421398984849"
"Max.","0.000687421398984849"
