"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Brca1a300IggmusPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878P300IggmusPk.narrowPeak.csv"
"jaccard_index","0.0890412959813575"
"pi_score","65.9202315023454"
"p_value","0.5"
"percentage_A","0.508902320227864"
"percentage_B","0.097411481253974"
"Min.","0.000936263751754052"
"1st Qu.","0.000936263751754052"
"Median","0.000936263751754052"
"Mean","0.000936263751754052"
"3rd Qu.","0.000936263751754052"
"Max.","0.000936263751754052"
