"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Corestsc30189IggmusPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Stat3IggmusPk.narrowPeak.csv"
"jaccard_index","0.264041563119673"
"pi_score","89.1990980891563"
"p_value","0.5"
"percentage_A","0.306367824221125"
"percentage_B","0.656498728706103"
"Min.","0.00205181071275082"
"1st Qu.","0.00205181071275082"
"Median","0.00205181071275082"
"Mean","0.00205181071275082"
"3rd Qu.","0.00205181071275082"
"Max.","0.00205181071275082"
