"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Ctcfsc15914c20StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Rad21IggrabPk.narrowPeak.csv"
"jaccard_index","0.342074034024882"
"pi_score","93.931831723476"
"p_value","0.5"
"percentage_A","0.352906365652124"
"percentage_B","0.917657688626212"
"Min.","0.00252425240599087"
"1st Qu.","0.00252425240599087"
"Median","0.00252425240599087"
"Mean","0.00252425240599087"
"3rd Qu.","0.00252425240599087"
"Max.","0.00252425240599087"
