"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Ctcfsc15914c20StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Tr4StdPk.narrowPeak.csv"
"jaccard_index","0.00524836619390812"
"pi_score","12.4913714626826"
"p_value","0.5"
"percentage_A","0.00545175224642342"
"percentage_B","0.123331614966971"
"Min.","0.000291232251055984"
"1st Qu.","0.000291232251055984"
"Median","0.000291232251055984"
"Mean","0.000291232251055984"
"3rd Qu.","0.000291232251055984"
"Max.","0.000291232251055984"
