"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878E2f4IggmusPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878NfyaIggmusPk.narrowPeak.csv"
"jaccard_index","0.131747401533086"
"pi_score","301.154858499683"
"p_value","0.5"
"percentage_A","0.235344830705001"
"percentage_B","0.230351143329821"
"Min.","0.000303233825858578"
"1st Qu.","0.000303233825858578"
"Median","0.000303233825858578"
"Mean","0.000303233825858578"
"3rd Qu.","0.000303233825858578"
"Max.","0.000303233825858578"
