"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Gcn5StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Srebp1IggrabPk.narrowPeak.csv"
"jaccard_index","0.0151126243866788"
"pi_score","19.8544090989722"
"p_value","0.5"
"percentage_A","0.0402916199979635"
"percentage_B","0.0236123118373761"
"Min.","0.000527604368997823"
"1st Qu.","0.000527604368997823"
"Median","0.000527604368997823"
"Mean","0.000527604368997823"
"3rd Qu.","0.000527604368997823"
"Max.","0.000527604368997823"
