"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Irf3IggmusPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878TbpIggmusPk.narrowPeak.csv"
"jaccard_index","0.0773952027443"
"pi_score","65.317113774203"
"p_value","0.5"
"percentage_A","0.498777303729215"
"percentage_B","0.083922224731921"
"Min.","0.000821320224842275"
"1st Qu.","0.000821320224842275"
"Median","0.000821320224842275"
"Mean","0.000821320224842275"
"3rd Qu.","0.000821320224842275"
"Max.","0.000821320224842275"
