"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Mazab85725IggmusPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Rfx5200401194IggmusPk.narrowPeak.csv"
"jaccard_index","0.232701205168755"
"pi_score","82.296198908298"
"p_value","0.5"
"percentage_A","0.251149373665926"
"percentage_B","0.76007354320183"
"Min.","0.00195994695277913"
"1st Qu.","0.00195994695277913"
"Median","0.00195994695277913"
"Mean","0.00195994695277913"
"3rd Qu.","0.00195994695277913"
"Max.","0.00195994695277913"
