"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Mxi1IggmusPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Pol2StdPk.narrowPeak.csv"
"jaccard_index","0.1839158299208"
"pi_score","81.8243454149318"
"p_value","0.5"
"percentage_A","0.193452835749463"
"percentage_B","0.788611659128038"
"Min.","0.00155798055362972"
"1st Qu.","0.00155798055362972"
"Median","0.00155798055362972"
"Mean","0.00155798055362972"
"3rd Qu.","0.00155798055362972"
"Max.","0.00155798055362972"
