"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878P300bStdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Stat3IggmusPk.narrowPeak.csv"
"jaccard_index","0.261126324287709"
"pi_score","85.5305202983337"
"p_value","0.5"
"percentage_A","0.290332611456577"
"percentage_B","0.721897259643719"
"Min.","0.00211619168010058"
"1st Qu.","0.00211619168010058"
"Median","0.00211619168010058"
"Mean","0.00211619168010058"
"3rd Qu.","0.00211619168010058"
"Max.","0.00211619168010058"
