"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878P300bStdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Tr4StdPk.narrowPeak.csv"
"jaccard_index","0.00776229008697251"
"pi_score","12.0270677718654"
"p_value","0.5"
"percentage_A","0.00809593200694862"
"percentage_B","0.158500295757287"
"Min.","0.000447358374504188"
"1st Qu.","0.000447358374504188"
"Median","0.000447358374504188"
"Mean","0.000447358374504188"
"3rd Qu.","0.000447358374504188"
"Max.","0.000447358374504188"
