"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878P300sc584IggmusPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Sin3anb6001263IggmusPk.narrowPeak.csv"
"jaccard_index","0.244785236143497"
"pi_score","90.7401552408132"
"p_value","0.5"
"percentage_A","0.357881792905544"
"percentage_B","0.436491569267164"
"Min.","0.00186986892214672"
"1st Qu.","0.00186986892214672"
"Median","0.00186986892214672"
"Mean","0.00186986892214672"
"3rd Qu.","0.00186986892214672"
"Max.","0.00186986892214672"
