"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Pol2StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878TbpIggmusPk.narrowPeak.csv"
"jaccard_index","0.208005280269419"
"pi_score","81.486571044526"
"p_value","0.5"
"percentage_A","0.602201048694572"
"percentage_B","0.241138446988466"
"Min.","0.0017693501114625"
"1st Qu.","0.0017693501114625"
"Median","0.0017693501114625"
"Mean","0.0017693501114625"
"3rd Qu.","0.0017693501114625"
"Max.","0.0017693501114625"
